"site_no","dateTimeHour","streamflow_cms"
"0137462010","2011-08-26 05:00:00",1.07816216
"0137462010","2011-08-26 06:00:00",1.07816216
"0137462010","2011-08-26 07:00:00",1.07816216
"0137462010","2011-08-26 08:00:00",1.0654196
"0137462010","2011-08-26 09:00:00",1.07816216
"0137462010","2011-08-26 10:00:00",1.07816216
"0137462010","2011-08-26 11:00:00",1.08453344
"0137462010","2011-08-26 12:00:00",1.08453344
"0137462010","2011-08-26 13:00:00",1.2140828
"0137462010","2011-08-26 14:00:00",2.17189856
"0137462010","2011-08-26 15:00:00",5.68223786666667
"0137462010","2011-08-26 16:00:00",9.0047424
"0137462010","2011-08-26 17:00:00",13.1578730666667
"0137462010","2011-08-26 18:00:00",13.1106784
"0137462010","2011-08-26 19:00:00",13.0823616
"0137462010","2011-08-26 20:00:00",13.0823616
"0137462010","2011-08-26 21:00:00",13.0540448
"0137462010","2011-08-26 22:00:00",13.0540448
"0137462010","2011-08-26 23:00:00",13.025728
"0137462010","2011-08-27 00:00:00",13.0823616
"0137462010","2011-08-27 01:00:00",13.025728
"0137462010","2011-08-27 02:00:00",12.9974112
"0137462010","2011-08-27 03:00:00",12.9974112
"0137462010","2011-08-27 04:00:00",13.025728
"0137462010","2011-08-27 05:00:00",13.025728
"0137462010","2011-08-27 06:00:00",13.025728
"0137462010","2011-08-27 07:00:00",12.9974112
"0137462010","2011-08-27 08:00:00",13.0540448
"0137462010","2011-08-27 09:00:00",12.9690944
"0137462010","2011-08-27 10:00:00",13.025728
"0137462010","2011-08-27 11:00:00",12.9974112
"0137462010","2011-08-27 12:00:00",13.025728
"0137462010","2011-08-27 13:00:00",13.025728
"0137462010","2011-08-27 14:00:00",12.9690944
"0137462010","2011-08-27 15:00:00",12.9690944
"0137462010","2011-08-27 16:00:00",12.9690944
"0137462010","2011-08-27 17:00:00",12.9690944
"0137462010","2011-08-27 18:00:00",13.0540448
"0137462010","2011-08-27 19:00:00",12.9690944
"0137462010","2011-08-27 20:00:00",12.9974112
"0137462010","2011-08-27 21:00:00",12.9690944
"0137462010","2011-08-27 22:00:00",12.9690944
"0137462010","2011-08-27 23:00:00",12.9690944
"0137462010","2011-08-28 00:00:00",12.9974112
"0137462010","2011-08-28 01:00:00",13.025728
"0137462010","2011-08-28 02:00:00",13.025728
"0137462010","2011-08-28 03:00:00",12.9974112
"0137462010","2011-08-28 04:00:00",13.0540448
"0137462010","2011-08-28 05:00:00",13.1106784
"0137462010","2011-08-28 06:00:00",13.1389952
"0137462010","2011-08-28 07:00:00",13.0540448
"0137462010","2011-08-28 08:00:00",13.0540448
"0137462010","2011-08-28 09:00:00",13.1956288
"0137462010","2011-08-28 10:00:00",13.2168664
"0137462010","2011-08-28 11:00:00",13.0823616
"0137462010","2011-08-28 12:00:00",13.238104
"0137462010","2011-08-28 13:00:00",13.2805792
"0137462010","2011-08-28 14:00:00",13.238104
"0137462010","2011-08-28 15:00:00",13.2876584
"0137462010","2011-08-28 16:00:00",13.6911728
"0137462010","2011-08-28 17:00:00",15.8786456
"0137462010","2011-08-28 18:00:00",18.9651768
"0137462010","2011-08-28 19:00:00",22.9649248
"0137462010","2011-08-28 20:00:00",27.750464
"0137462010","2011-08-28 21:00:00",32.635112
"0137462010","2011-08-28 22:00:00",37.236592
"0137462010","2011-08-28 23:00:00",41.41332
"0137462010","2011-08-29 00:00:00",47.218264
"0137462010","2011-08-29 01:00:00",50.120736
"0137462010","2011-08-29 02:00:00",52.74004
"0137462010","2011-08-29 03:00:00",53.518752
"0137462010","2011-08-29 04:00:00",55.076176
"0137462010","2011-08-29 05:00:00",55.076176
"0137462010","2011-08-29 06:00:00",54.651424
"0137462010","2011-08-29 07:00:00",55.21776
"0137462010","2011-08-29 08:00:00",55.005384
"0137462010","2011-08-29 09:00:00",54.085088
"0137462010","2011-08-29 10:00:00",53.306376
"0137462010","2011-08-29 11:00:00",51.67816
"0137462010","2011-08-29 12:00:00",49.483608
"0137462010","2011-08-29 13:00:00",47.926184
"0137462010","2011-08-29 14:00:00",46.72272
"0137462010","2011-08-29 15:00:00",45.590048
"0137462010","2011-08-29 16:00:00",30.157392
"0137462010","2011-08-29 17:00:00",29.237096
"0137462010","2011-08-29 18:00:00",28.2530872
"0137462010","2011-08-29 19:00:00",27.467296
"0137462010","2011-08-29 20:00:00",27.467296
"0137462010","2011-08-29 21:00:00",27.78586
"0137462010","2011-08-29 22:00:00",27.8637312
"0137462010","2011-08-29 23:00:00",27.856652
"0137462010","2011-08-30 00:00:00",27.78586
"0137462010","2011-08-30 01:00:00",27.5805632
"0137462010","2011-08-30 02:00:00",27.4602168
"0137462010","2011-08-30 03:00:00",27.1416528
"0137462010","2011-08-30 04:00:00",26.794772
"0137462010","2011-08-30 05:00:00",26.6461088
"0137462010","2011-08-30 06:00:00",26.3417032
"0137462010","2011-08-30 07:00:00",26.0726936
"0137462010","2011-08-30 08:00:00",25.6125456
"0137462010","2011-08-30 09:00:00",25.4284864
"0137462010","2011-08-30 10:00:00",25.0816056
"0137462010","2011-08-30 11:00:00",24.7630416
"0137462010","2011-08-30 12:00:00",24.387844
"0137462010","2011-08-30 13:00:00",23.502944
"0137462010","2011-08-30 14:00:00",22.29948
"0137462010","2011-08-30 15:00:00",20.52968
"0137462010","2011-08-30 16:00:00",19.397008
"0137462010","2011-08-30 17:00:00",17.6413664
"0137462010","2011-08-30 18:00:00",15.6875072
"0137462010","2011-08-30 19:00:00",14.2575088
"0137462010","2011-08-30 20:00:00",12.6434512
"0137462010","2011-08-30 21:00:00",11.2700864
"0137462010","2011-08-30 22:00:00",10.0737016
"0137462010","2011-08-30 23:00:00",9.0684552
